[TutorialStory], 3.00, 20, v, smile
[TutorialStory], 3.00, 21, v, smile
[TutorialStory], 3.00, 20, v, smile
[TutorialStory], 3.30, 21, v, smile
[TutorialStory], 4.00, 20, v, smile
[TutorialStory], 4.30, NaN, NaN, NaN
[TutorialGameplay], 5.00, 20, v, smile
[TutorialGameplay], 5.00, 21, v, smile
[TutorialGameplay], 5.00, 20, v, smile
[TutorialGameplay], 5.00, 20, v, smile
[TutorialGameplay], 5.30, 20, v, smile
[TutorialGameplay], 5.30, 21, v, smile
[TutorialGameplay], 5.30, 21, v, smile
[TutorialGameplay], 5.30, 20, v, smile
[TutorialGameplay], 5.30, 21, v, smile
[TutorialGameplay], 5.30, 20, v, smile
[TutorialGameplay], 6.00, 21, v, smile
[TutorialGameplay], 6.30, 20, v, smile
[TutorialGameplay], 6.30, 21, v, smile
[TutorialGameplay], 6.30, 20, v, smile
[TutorialGameplay], 6.30, 21, v, smile
[TutorialGameplay], 6.30, 20, v, smile
[TutorialGameplay], 6.30, 21, v, smile
[TutorialGameplay], 7.00, 21, v, pointing
[TutorialGameplay], 7.30, 20, v, smile
[TutorialGameplay], 7.30, 21, v, smile
[TutorialGameplay], 7.30, 21, v, smile 
[TutorialGameplay], 8.00, 20, v, smile
[TutorialGameplay], 8.00, 21, v, smile
[TutorialGameplay], 8.00, 21, v, nod
[TutorialGameplay], 8.00, 21, v, nod
[BetweenTutorial], 8.30, 20, v, headshake
[BetweenTutorial], 8.30, 21, v,pointing
[BetweenTutorial], 8.30, 20, v, nod
[BetweenTutorial], 8.30, 20, v, nod
[BetweenTutorial], 8.30, 21, v, smile
[BetweenTutorial], 8.30, 20, v, smile
[BetweenTutorial], 8.30, 21, v, smile
[BetweenTutorial], 8.30, 20, v, smile
[BetweenTutorial], 8.30, 21, v, smile
[BetweenTutorial], 8.30, 20, v, nod
[BetweenTutorial], 9.00, NaN, NaN, NaN
[BetweenTutorial], 9.30, 20, v, smile
[BetweenTutorial], 9.30, 20, v, nod
[BetweenTutorial], 9.30, 21, v, smile
[BetweenTutorial], 9.30, 20, v, nod
[BetweenTutorial], 10.00, 21, v, nod
[BetweenTutorial], 10.00, 21, v, smile
[BetweenTutorial], 10.00, 21, v, nod
[AOLV1], 10.30, 20, v, smile
[AOLV1], 10.30, 21, v, smile
[AOLV1], 10.30, 20, v, headshake
[AOLV1], 10.30, 21, v, headshake
[AOLV1], 10.30, 20, v, smile
[AOLV1], 10.30, 21, v, smile
[AOLV1], 11.00, 20, v, smile
[AOLV1], 11.00, 21, v, smile
[AOLV1], 11.00, 21, v, headshake
[AOLV1], 11.30, 21, v, smile
[AOLV1], 11.30, 21, v, smile
[AOLV1], 11.30, 20, v, smile
[AOLV1], 12.00, 20, v, smile
[AOLV1], 12.30, 21, v, smile
[AOLV1], 12.30, 20, v, smile 
[AOLV1], 12.30, 20, v, smile
[AOLV1], 12.30, 21, v, smile
[AOLV1], 13.00, 20, v, smile
[AOLV1], 13.00, 21, v, smile
[AOLV1], 13.00, 20, v, smile
[AOLV1], 13.00, 21, v, smile
[AOLV1], 13.00, 20, v, smile
[AOLV1], 13.00, 21, v, smile
[AOLV1], 13.00, 20, v, smile
[AOLV1], 13.00, 21, v, smile
[AOLV1], 13.30, NaN, NaN, NaN
